Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11372053.05,2.2066596625,-0.024,10000.0,2.99875322179749,,1.31517710015866e-08,1.70770249922866e-05,2.03379371959534e-05,2.65566653022123e-05,49.9810441408652,1.51890681865201e-08,-3.2074050147551703e-09,1.55240213637908e-08,-11.9237139894284,588,5,5,13.4965986394558,-0.076805167652275,0.0048602962952972,4373,0,2.204608,2.2077672,-0.024,-0.024,,2.17135,,,,,,,,,,,,,,,,,,,,,,,2.2066596625,,,,
,11372443.94,2.995198575,-0.024,10.0,3.00137149090889,,8.77929749287299e-07,0.0001768433631074,3.1388382329982e-06,0.0001768712169365,1.01685072111411,1.54324462772259e-08,8.212023171344639e-11,1.54326647676907e-08,0.304883502970993,320,25,5,13.4965986394558,-0.076805167652275,0.0001011228386358,4373,0,2.9929802,2.9983399,-0.024,-0.024,,2.9962625,,,,,,,,,,,,,,,,,,,,,,,2.995198575,,,,
,11372479.07,2.9916246125,-0.024,12.5890027958993,3.00137129787711,,8.14905159382746e-07,0.0001819268953071,6.25453674501679e-06,0.0001820343771544,1.96901877145852,1.54271607572609e-08,4.0785362720128093e-11,1.54272146700622e-08,0.151474645416701,384,25,5,13.4965986394558,-0.076805167652275,0.0001035347223745,4373,0,2.9846168,2.9945831,-0.024,-0.024,,2.992475,,,,,,,,,,,,,,,,,,,,,,,2.9916246125,,,,
,11372512.97,2.997370775,-0.024,15.8490214352283,3.00137099187908,,5.68044840947844e-07,0.0001824620178057,6.34486323055975e-06,0.0001825723013799,1.99157866611647,1.54042695093979e-08,7.76783115529876e-12,1.54042714679198e-08,0.0288922433597557,480,25,5,13.4965986394558,-0.076805167652275,0.0001061547354248,4373,0,2.9950793,2.9988813,-0.024,-0.024,,2.9982875,,,,,,,,,,,,,,,,,,,,,,,2.997370775,,,,
,11372547.33,2.9992951375,-0.024,19.952935694315,3.00137050692122,,8.86026023039061e-07,0.0001801968229939,8.77413086827688e-06,0.0001804103112064,2.78764032973497,1.53821289264164e-08,3.25047704670089e-11,1.5382163270132e-08,0.121074488363208,304,25,5,13.4965986394558,-0.076805167652275,0.0001087810203903,4373,0,2.9984243,3.0006239,-0.024,-0.024,,2.99955,,,,,,,,,,,,,,,,,,,,,,,2.9992951375,,,,
,11372581.99,2.9983017625,-0.024,25.1190587138863,3.00136973837459,,6.51976897238242e-07,0.0001792007702388,1.2759462325678e-05,0.0001796544459039,4.0727037714877,1.53901109241787e-08,2.8449940788174898e-11,1.53901372202347e-08,0.105916044777551,400,25,5,13.4965986394558,-0.076805167652275,0.0001123338146205,4373,0,2.994987,3.0009892,-0.024,-0.024,,2.9982375,,,,,,,,,,,,,,,,,,,,,,,2.9983017625,,,,
,11372616.2,2.99873155,-0.024,31.6230195712954,3.00136852027881,,3.22637131029646e-07,0.0001792400778656,1.57698246140985e-05,0.0001799324675584,5.02802610027091,1.53668032134333e-08,3.8280186093859596e-11,1.53668508931736e-08,0.142729007122445,496,25,5,13.4965986394558,-0.076805167652275,0.0001161609209918,4369,0,2.9968536,3.0018446,-0.024,-0.024,,2.9988375,,,,,,,,,,,,,,,,,,,,,,,2.99873155,,,,
,11372651.1,2.99888865,-0.024,39.8108108108108,3.00136658978538,,1.54726240321668e-07,0.0001777339620004,1.95049439606892e-05,0.0001788010181382,6.2627127244857,1.53779187342128e-08,4.2789404649231e-11,1.53779782653379e-08,0.159426383337784,312,25,5,13.4965986394558,-0.076805167652275,0.0001213173803198,4369,0,2.9984236,3.0003397,-0.024,-0.024,,2.9989,,,,,,,,,,,,,,,,,,,,,,,2.99888865,,,,
,11372686.48,2.9969847625,-0.024,50.118825722274,3.00136353011628,,5.2129641480828e-07,0.000175895246131,2.42005783919247e-05,0.0001775522616189,7.83386612413644,1.53726116287726e-08,5.6514624862918693e-11,1.53727155113173e-08,0.210636616338367,400,25,5,13.4965986394558,-0.076805167652275,0.0001275385669435,4369,0,2.9783964,3.0039756,-0.024,-0.024,,2.9979375,,,,,,,,,,,,,,,,,,,,,,,2.9969847625,,,,
,11372721.09,3.03169805,-0.024,63.096458527493,3.00135868063289,,3.28806811469501e-07,0.0001761316698192,2.99703685267005e-05,0.0001786633373217,9.65689281675169,1.53848185656205e-08,6.02173445804512e-11,1.53849364127919e-08,0.22425887340719,504,25,5,13.4965986394558,-0.076805167652275,0.0001357843056133,4374,0,2.5815592,3.6958749,-0.024,-0.024,,3.050825,,,,,,,,,,,,,,,,,,,,,,,3.03169805,,,,
,11372753.8,3.0386085125,-0.024,79.4333643988816,3.00135099520827,,2.59535729570525e-07,0.0001672117900088,3.4871380291017e-05,0.0001708092382787,11.7799764390838,1.53964850281015e-08,7.03516523607195e-11,1.53966457572921e-08,0.261801619130512,316,25,5,13.4965986394558,-0.076805167652275,0.0001450058136925,4374,0,2.9062252,3.4088831,-0.024,-0.024,,3.0445375,,,,,,,,,,,,,,,,,,,,,,,3.0386085125,,,,
,11372788.23,3.065987475,-0.024,100.0,3.00133881500266,,1.55963312916972e-07,0.0001601983808277,4.07766097764648e-05,0.0001653065428973,14.2807061383805,1.54004667659865e-08,8.68949275129364e-11,1.54007119101255e-08,0.323279797283722,400,25,5,13.4965986394558,-0.076805167652275,0.0001563401490971,4373,0,2.987911,3.1074972,-0.024,-0.024,,3.0792,,,,,,,,,,,,,,,,,,,,,,,3.065987475,,,,
,11372824.2,3.0089757,-0.024,125.890027958993,3.00131951260894,,1.26313954474737e-07,0.0001550513371217,4.76729962231056e-05,0.0001622147703266,17.0908770216715,1.53854980776621e-08,-1.3309723600441699e-11,1.53855038346648e-08,-0.0495655580800189,500,25,5,13.4965986394558,-0.076805167652275,0.00017330083186,4373,0,2.9713347,3.0660198,-0.024,-0.024,,2.9943875,,,,,,,,,,,,,,,,,,,,,,,3.0089757,,,,
,11372858.45,2.988880125,-0.024,158.490214352283,3.00128891477575,,1.45343760298275e-07,0.0001468634100843,5.38748197577221e-05,0.0001564332363199,20.1448668807185,1.53838956631422e-08,-1.73930590901589e-11,1.53839054954504e-08,-0.0647786799841015,316,25,5,13.4965986394558,-0.076805167652275,0.0001918170787012,4374,0,2.9586077,3.0082848,-0.024,-0.024,,2.9968875,,,,,,,,,,,,,,,,,,,,,,,2.988880125,,,,
,11372892.18,3.0240161125,-0.024,199.530288909599,3.0012404227093,,1.38076754316241e-07,0.0001353100003699,5.82124563174826e-05,0.0001473006662259,23.2781233623334,1.53816853880938e-08,-2.8369310171032598e-11,1.53817115496312e-08,-0.105673718869468,398,25,5,13.4965986394558,-0.076805167652275,0.0002149627725582,4374,0,2.9943733,3.1309571,-0.024,-0.024,,3.0138,,,,,,,,,,,,,,,,,,,,,,,3.0240161125,,,,
,11372926.61,2.9945782625,-0.024,251.189655172414,3.00116358324547,,9.22494401623607e-08,0.0001234848216095,6.14942419825139e-05,0.0001379494217637,26.4728587712022,1.53845629601003e-08,-3.9371775496284294e-11,1.53846133396325e-08,-0.146629556456844,502,25,5,13.4965986394558,-0.076805167652275,0.0002439897148947,4373,0,2.9552896,3.0294523,-0.024,-0.024,,3.002275,,,,,,,,,,,,,,,,,,,,,,,2.9945782625,,,,
,11372960.69,2.9966682875,-0.024,316.22972972973,3.00104180430481,,4.20123290077286e-08,0.0001118409496292,6.35047411563835e-05,0.0001286127916006,29.5884720482057,1.538630501907e-08,-5.1364124665286297e-11,1.53863907532976e-08,-0.191269874463615,316,25,5,13.4965986394558,-0.076805167652275,0.0002800342664532,4373,0,2.9715548,3.0404396,-0.024,-0.024,,3.0060875,,,,,,,,,,,,,,,,,,,,,,,2.9966682875,,,,
,11372995.52,2.9808897625,-0.024,398.109972041007,3.0008488274793,,4.73766448501531e-08,9.94792997160487e-05,6.34662191098578e-05,0.0001180003899997,32.5372312205756,1.53869889141714e-08,-6.96528226878609e-11,1.53871465633022e-08,-0.259361044240791,398,25,5,13.4965986394558,-0.076805167652275,0.0003239674398871,4374,0,2.92541,3.0132589,-0.024,-0.024,,2.9703875,,,,,,,,,,,,,,,,,,,,,,,2.9808897625,,,,
,11373029.97,2.9824470375,-0.024,501.189655172414,3.00054305769988,,6.96477624216075e-08,8.78212634393109e-05,6.20614747458738e-05,0.0001075369748491,35.2480603256514,1.53918960864608e-08,-9.096032104612439e-11,1.53921648547698e-08,-0.338592581526086,501,25,5,13.4965986394558,-0.076805167652275,0.0003794788629728,4374,0,2.9435256,3.0484891,-0.024,-0.024,,2.990325,,,,,,,,,,,,,,,,,,,,,,,2.9824470375,,,,
,11373064.54,3.005112175,-0.024,630.960391425909,3.00005862577851,,2.27056580615859e-08,7.60708236764679e-05,5.87826353251676e-05,9.61361972962729e-05,37.6945400288825,1.53969037623756e-08,-1.18244709739056e-10,1.53973578018839e-08,-0.440009870463257,210,25,5,13.4965986394558,-0.076805167652275,0.0004475748281187,4373,0,2.991204,3.0256031,-0.024,-0.024,,3.003475,,,,,,,,,,,,,,,,,,,,,,,3.005112175,,,,
,11373099.09,3.000093525,-0.024,794.330848089469,2.99929132153899,,2.51224420956007e-08,6.60348652475613e-05,5.5096235730551e-05,8.60011547593405e-05,39.839954861578,1.5405221828082e-08,-1.54146052519172e-10,1.5405993008499e-08,-0.573287655198499,264,25,5,13.4965986394558,-0.076805167652275,0.000531517031754,4373,0,2.9853117,3.0252721,-0.024,-0.024,,2.98575,,,,,,,,,,,,,,,,,,,,,,,3.000093525,,,,
,11373133.91,2.998752625,-0.024,1000.0,2.99807640102726,,3.05254469687559e-08,5.69336176826685e-05,5.06665853030795e-05,7.621377623967e-05,41.6666485080059,1.54181196489131e-08,-1.99149098379172e-10,1.54194057561109e-08,-0.740023335723151,333,25,5,13.4965986394558,-0.076805167652275,0.0006352208112108,4374,0,2.9657774,3.0310011,-0.024,-0.024,,3.0018375,,,,,,,,,,,,,,,,,,,,,,,2.998752625,,,,
